Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
Meknès,Bele Vue,Renault,Talisman,2019,130 000 - 139 999,Diesel,6,Automatique,5,WW au Maroc,Oui,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,243500
Sidi Slimane,Toute la ville,Peugeot,308,2017,110 000 - 119 999,Diesel,6,Automatique,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,145000
Khénifra,Toute la ville,Volkswagen,GOLF 6,2009,250 000 - 299 999,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,110000
Meknès,Unknown,Audi,A3,2015,130 000 - 139 999,Diesel,6,Automatique,5,Dédouanée,Oui,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,220000
Fès,Unknown,Renault,Kangoo,2019,95 000 - 99 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,127000
Agadir,Unknown,Audi,A3,2008,200 000 - 249 999,Diesel,8,Automatique,5,Importée neuve,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,92000
Casablanca,2 Mars,Renault,Kangoo,2010,100 000 - 109 999,Diesel,6,Manuelle,3,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,65000
Agadir,Unknown,Volkswagen,Bora,1999,200 000 - 249 999,Diesel,8,Manuelle,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,62000
Tanger,Centre ville,Volkswagen,Tiguan,2017,170 000 - 179 999,Diesel,8,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,243500
Fès,Unknown,Renault,Clio,2018,65 000 - 69 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,102000
Salé,Unknown,Renault,Kangoo,2006,5 000 - 9 999,Diesel,7,Manuelle,5,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,70000
Casablanca,Unknown,Skoda,Octavia,2017,140 000 - 149 999,Diesel,8,Automatique,5,Unknown,Non,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,178000
Tifelt,Toute la ville,Citroen,C3,2019,55 000 - 59 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,110000
Casablanca,Unknown,Nissan,Qashqai,2009,250 000 - 299 999,Diesel,6,Manuelle,5,Dédouanée,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105000
Guercif,Toute la ville,Mercedes-Benz,Classe C,2015,95 000 - 99 999,Diesel,6,Manuelle,5,Dédouanée,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,243500
Kénitra,Autre secteur,Alfa Romeo,159,2007,200 000 - 249 999,Diesel,11,Manuelle,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,72000
Salé,Hay Salam,Peugeot,Partner,2005,200 000 - 249 999,Diesel,7,Manuelle,5,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60000
Rabat,Hassan,Hyundai,ix 35,2012,170 000 - 179 999,Diesel,7,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,140000
Errachidia,Unknown,Peugeot,208,2015,50 000 - 54 999,Diesel,6,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,110000
Temara,Centre Ville,Mercedes-Benz,Classe CLK,2010,200 000 - 249 999,Diesel,9,Automatique,5,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,170000
Meknès,Autre secteur,Volkswagen,Polo,2012,130 000 - 139 999,Essence,7,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,84000
Jorf El Melha,Unknown,Audi,A4,2015,10 000 - 14 999,Diesel,8,Manuelle,5,Dédouanée,Oui,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,128000
Casablanca,Unknown,Seat,Ibiza,2010,170 000 - 179 999,Essence,7,Manuelle,5,Unknown,Unknown,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,67000
Casablanca,Unknown,Hyundai,ix 35,2012,100 000 - 109 999,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,123000
